epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1096.51,1.34297,2.32875,1.25433,0.61097,0.61499,0.64744,0.4104,1.19861,1.90849,1.07505,0.000474751,0.000474751,0.000474751
2,2113.83,1.16727,1.19465,1.10885,0.79339,0.76564,0.76203,0.45493,1.21432,1.08914,1.07368,0.000856927,0.000856927,0.000856927
3,3197.21,1.13617,0.89227,1.08926,0.82436,0.69352,0.76223,0.50341,1.10868,0.99748,1.03118,0.00114479,0.00114479,0.00114479
4,4258.52,1.07647,0.75905,1.05755,0.87665,0.73545,0.8156,0.56043,1.04526,0.7661,1.01369,0.00100459,0.00100459,0.00100459
5,5320.86,1.02727,0.67552,1.02965,0.88646,0.80001,0.84477,0.60321,0.97332,0.68932,0.96429,0.000863116,0.000863116,0.000863116
6,6397.38,0.97639,0.61314,1.00605,0.91699,0.81794,0.87653,0.62132,0.93036,0.6345,0.94349,0.000721645,0.000721645,0.000721645
7,7494.86,0.93141,0.57078,0.98488,0.88365,0.85354,0.88038,0.63935,0.90316,0.60207,0.92879,0.000580174,0.000580174,0.000580174
8,8561.74,0.90275,0.53778,0.97053,0.89051,0.86428,0.89709,0.64789,0.88467,0.57004,0.92407,0.000438703,0.000438703,0.000438703
9,9614.58,0.86552,0.50122,0.9539,0.93597,0.82549,0.89315,0.66123,0.85578,0.54104,0.91945,0.000297232,0.000297232,0.000297232
10,10684.9,0.83525,0.47085,0.94362,0.91642,0.84552,0.89591,0.67126,0.82258,0.50664,0.90564,0.000155761,0.000155761,0.000155761
